Country/Territories,Currency Name,Currency Code,Currency units per £1 ,Start Date,End Date
Iceland,Krona,ISK,174.4375,01/02/2022,28/02/2022
India,Rupee,INR,101.4525,01/02/2022,28/02/2022
Indonesia,Rupiah,IDR,19574.643,01/02/2022,28/02/2022
Iraq,Dinar,IQD,1989.8328,01/02/2022,28/02/2022
Israel,Shekel,ILS,4.2773,01/02/2022,28/02/2022
Jamaica,Dollar,JMD,211.3421,01/02/2022,28/02/2022
Japan,Yen,JPY,155.8339,01/02/2022,28/02/2022
Jordan,Dinar,JOD,0.9663,01/02/2022,28/02/2022
Kazakhstan,Tenge,KZT,595.1099,01/02/2022,28/02/2022
Kenya,Schilling,KES,154.6209,01/02/2022,28/02/2022
Kuwait,Dinar,KWD,0.412,01/02/2022,28/02/2022
Kyrgyz Republic,Som,KGS,115.5707,01/02/2022,28/02/2022
Lao People's Dem Rep,Kip,LAK,15387.1315,01/02/2022,28/02/2022
Lebanon,Pound,LBP,2060.9765,01/02/2022,28/02/2022
Lesotho,Loti,LSL,20.8626,01/02/2022,28/02/2022
Liberia,Dollar (US),LRD,1.3629,01/02/2022,28/02/2022
Libya,Dinar,LYD,6.2353,01/02/2022,28/02/2022
Macao,Pataca,MOP,10.9371,01/02/2022,28/02/2022
Macedonia,Denar,MKD,73.9714,01/02/2022,28/02/2022
Madagascar,Malagasy Ariary,MGA,5438.9919,01/02/2022,28/02/2022
Malawi,Kwacha,MWK,1112.671,01/02/2022,28/02/2022
Malaysia,Ringgit,MYR,5.7146,01/02/2022,28/02/2022
Maldive Islands,Rufiyaa,MVR,21.0704,01/02/2022,28/02/2022
Mali Republic,CFA Franc,XOF,788.0152,01/02/2022,28/02/2022
Mauritania,Ouguiya,MRU,48.6963,01/02/2022,28/02/2022
Mauritius,Rupee,MUR,59.695,01/02/2022,28/02/2022
Mexico,Mexican Peso,MXN,27.8962,01/02/2022,28/02/2022
Moldova,Leu,MDL,24.6003,01/02/2022,28/02/2022
Mongolia,Tugrik,MNT,3901.3002,01/02/2022,28/02/2022
Montserrat,E Caribbean Dollar,XCD,3.6798,01/02/2022,28/02/2022
Morocco,Dirham,MAD,12.6352,01/02/2022,28/02/2022
Mozambique,Metical,MZN,87.0211,01/02/2022,28/02/2022
Myanmar,Kyat,MMK,2423.4273,01/02/2022,28/02/2022
Nepal,Rupee,NPR,162.324,01/02/2022,28/02/2022
New Caledonia,CFP Franc,XPF,143.3557,01/02/2022,28/02/2022
New Zealand,Dollar,NZD,2.0071,01/02/2022,28/02/2022
Nicaragua,Gold Cordoba,NIO,48.3216,01/02/2022,28/02/2022
Niger Republic,CFA Franc,XOF,788.0152,01/02/2022,28/02/2022
Nigeria,Naira,NGN,566.6253,01/02/2022,28/02/2022
Norway,Norwegian Krone,NOK,11.9617,01/02/2022,28/02/2022
Oman,Rial,OMR,0.5247,01/02/2022,28/02/2022
Pakistan,Rupee,PKR,240.1428,01/02/2022,28/02/2022
Panama,Balboa,PAB,1.3629,01/02/2022,28/02/2022
Papua New Guinea,Kina,PGK,4.7864,01/02/2022,28/02/2022
Paraguay,Guarani,PYG,9503.1289,01/02/2022,28/02/2022
Peru,New Sol,PEN,5.2716,01/02/2022,28/02/2022
Philippines,Peso,PHP,70.1825,01/02/2022,28/02/2022
Poland,Zloty,PLN,5.4361,01/02/2022,28/02/2022
Qatar,Riyal,QAR,4.9623,01/02/2022,28/02/2022
Romania,New Leu,RON,5.9409,01/02/2022,28/02/2022
Russia,Rouble,RUB,104.2822,01/02/2022,28/02/2022
Rwanda,Franc,RWF,1387.5678,01/02/2022,28/02/2022
Saotome & Principe,Dobra,STD,29847.5,01/02/2022,28/02/2022
Saudi Arabia,Riyal,SAR,5.1128,01/02/2022,28/02/2022
Senegal,CFA Franc,XOF,788.0152,01/02/2022,28/02/2022
Serbia,Dinar,RSD,141.2849,01/02/2022,28/02/2022
Seychelles,Rupee,SCR,20.0585,01/02/2022,28/02/2022
Sierra Leone,Leone,SLL,15505.102,01/02/2022,28/02/2022
Singapore,Dollar,SGD,1.8364,01/02/2022,28/02/2022
Soloman Islands,Dollar,SBD,11.1076,01/02/2022,28/02/2022
Somali Republic,Schilling,SOS,797.296,01/02/2022,28/02/2022
South Africa,Rand,ZAR,20.8626,01/02/2022,28/02/2022
South Korea,Won,KRW,1624.2351,01/02/2022,28/02/2022
Sri Lanka,Rupee,LKR,275.9871,01/02/2022,28/02/2022
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.6798,01/02/2022,28/02/2022
St Lucia,E Caribbean Dollar,XCD,3.6798,01/02/2022,28/02/2022
St Vincent,E Caribbean Dollar,XCD,3.6798,01/02/2022,28/02/2022
Sudan Republic,Pound,SDG,596.2684,01/02/2022,28/02/2022
Surinam,Dollar,SRD,28.8192,01/02/2022,28/02/2022
Swaziland,Lilangeni,SZL,20.8626,01/02/2022,28/02/2022
Sweden,Krona,SEK,12.4183,01/02/2022,28/02/2022
Switzerland,Franc,CHF,1.2488,01/02/2022,28/02/2022
Taiwan,Dollar,TWD,37.6726,01/02/2022,28/02/2022
Tanzania,Schilling,TZS,3146.9351,01/02/2022,28/02/2022
Thailand,Baht,THB,45.0097,01/02/2022,28/02/2022
Togo Republic,CFA Franc,XOF,788.0152,01/02/2022,28/02/2022
Tonga Islands,Pa'anga (AUS),TOP,1.8874,01/02/2022,28/02/2022
Trinidad/Tobago,Dollar,TTD,9.178,01/02/2022,28/02/2022
Tunisia,Dinar,TND,3.9191,01/02/2022,28/02/2022
Turkey,Turkish  Lira,TRY,18.2904,01/02/2022,28/02/2022
Turkmenistan,New Manat,TMT,4.7701,01/02/2022,28/02/2022
UAE,Dirham,AED,5.006,01/02/2022,28/02/2022
Uganda,Schilling,UGX,4804.9018,01/02/2022,28/02/2022
Ukraine,Hryvnia,UAH,38.5562,01/02/2022,28/02/2022
Uruguay,Peso,UYU,60.6954,01/02/2022,28/02/2022
USA,Dollar,USD,1.3629,01/02/2022,28/02/2022
Uzbekistan,Sum,UZS,14742.8261,01/02/2022,28/02/2022
Vanuatu,Vatu,VUV,155.1729,01/02/2022,28/02/2022
Venezuela,Bolivar Fuerte,VEF,338643.75,01/02/2022,28/02/2022
Vietnam,Dong,VND,30944.7111,01/02/2022,28/02/2022
Wallis & Futuna Islands,CFP Franc,XPF,143.3557,01/02/2022,28/02/2022
Western Samoa,Tala,WST,3.565,01/02/2022,28/02/2022
Yemen (Rep of),Rial,YER,341.0655,01/02/2022,28/02/2022
Zambia,Kwacha,ZMW,23.6122,01/02/2022,28/02/2022
Zimbabwe,Dollar,ZWL,493.2332,01/02/2022,28/02/2022
