Country/Territories,Currency,CurrencyCode,Currency units per £1,Start Date,End date
Croatia,Kuna,HRK,8.826,01/08/2022,31/08/2022
Cuba,Peso,CUP,1.1996,01/08/2022,31/08/2022
Czech Republic,Koruna,CZK,28.7463,01/08/2022,31/08/2022
Denmark,Krone,DKK,8.744,01/08/2022,31/08/2022
Djibouti,Franc,DJF,213.3397,01/08/2022,31/08/2022
Dominica,E Caribbean Dollar,XCD,3.239,01/08/2022,31/08/2022
Dominican Republic,Peso,DOP,65.1887,01/08/2022,31/08/2022
Dubai,Dirham,AED,4.4064,01/08/2022,31/08/2022
Ecuador,Dollar,ECS,1.1996,01/08/2022,31/08/2022
Egypt,Pound,EGP,22.7346,01/08/2022,31/08/2022
El Salvador,Colon,SVC,10.4861,01/08/2022,31/08/2022
Equatorial Guinea,CFA Franc,XAF,770.5415,01/08/2022,31/08/2022
Eritrea,Nakfa,ERN,17.9947,01/08/2022,31/08/2022
Ethiopia,Birr,ETB,62.8008,01/08/2022,31/08/2022
Eurozone,Euro,EUR,1.1747,01/08/2022,31/08/2022
Fiji Islands,Dollar,FJD,2.6419,01/08/2022,31/08/2022
Fr. Polynesia,CFP Franc,XPF,140.1769,01/08/2022,31/08/2022
Gabon,CFA Franc,XAF,770.5415,01/08/2022,31/08/2022
Gambia,Dalasi,GMD,64.9308,01/08/2022,31/08/2022
Georgia,Lari,GEL,3.377,01/08/2022,31/08/2022
Ghana,Cedi,GHS,9.7321,01/08/2022,31/08/2022
Grenada,E Caribbean Dollar,XCD,3.239,01/08/2022,31/08/2022
Guatemala,Quetzal,GTQ,9.2753,01/08/2022,31/08/2022
Guinea Bissau,CFA Franc,XOF,770.5415,01/08/2022,31/08/2022
Guinea Republic,Franc,GNF,10406.7369,01/08/2022,31/08/2022
Guyana,Dollar,GYD,250.7217,01/08/2022,31/08/2022
Haiti,Gourde,HTG,137.985,01/08/2022,31/08/2022
Honduras,Lempira,HNL,29.5293,01/08/2022,31/08/2022
Hong Kong,Dollar,HKD,9.4172,01/08/2022,31/08/2022
Hungary,Forint,HUF,466.6722,01/08/2022,31/08/2022
Iceland,Krona,ISK,164.5733,01/08/2022,31/08/2022
India,Rupee,INR,95.9566,01/08/2022,31/08/2022
Indonesia,Rupiah,IDR,17979.6937,01/08/2022,31/08/2022
Iraq,Dinar,IQD,1749.1078,01/08/2022,31/08/2022
Israel,Shekel,ILS,4.1253,01/08/2022,31/08/2022
Jamaica,Dollar,JMD,182.0071,01/08/2022,31/08/2022
Japan,Yen,JPY,165.653,01/08/2022,31/08/2022
Jordan,Dinar,JOD,0.8519,01/08/2022,31/08/2022
Kazakhstan,Tenge,KZT,578.0609,01/08/2022,31/08/2022
Kenya,Schilling,KES,142.2179,01/08/2022,31/08/2022
Kuwait,Dinar,KWD,0.3693,01/08/2022,31/08/2022
Kyrgyz Republic,Som,KGS,95.4061,01/08/2022,31/08/2022
Lao People's Dem Rep,Kip,LAK,18027.1078,01/08/2022,31/08/2022
Lebanon,Pound,LBP,1814.1031,01/08/2022,31/08/2022
Lesotho,Loti,LSL,20.5064,01/08/2022,31/08/2022
Liberia,Dollar (US),LRD,1.1996,01/08/2022,31/08/2022
Libya,Dinar,LYD,5.8594,01/08/2022,31/08/2022
Macao,Pataca,MOP,9.6997,01/08/2022,31/08/2022
Macedonia,Denar,MKD,72.3026,01/08/2022,31/08/2022
Madagascar,Malagasy Ariary,MGA,4932.3406,01/08/2022,31/08/2022
Malawi,Kwacha,MWK,1231.3576,01/08/2022,31/08/2022
Malaysia,Ringgit,MYR,5.3408,01/08/2022,31/08/2022
Maldive Islands,Rufiyaa,MVR,18.4145,01/08/2022,31/08/2022
Mali Republic,CFA Franc,XOF,770.5415,01/08/2022,31/08/2022
Mauritania,Ouguiya,MRU,42.86331,01/08/2022,31/08/2022
Mauritius,Rupee,MUR,53.6241,01/08/2022,31/08/2022
Mexico,Mexican Peso,MXN,24.5621,01/08/2022,31/08/2022
Moldova,Leu,MDL,23.1412,01/08/2022,31/08/2022
Mongolia,Tugrik,MNT,3776.4835,01/08/2022,31/08/2022
Montserrat,E Caribbean Dollar,XCD,3.239,01/08/2022,31/08/2022
Morocco,Dirham,MAD,12.2862,01/08/2022,31/08/2022
Mozambique,Metical,MZN,76.6393,01/08/2022,31/08/2022
Myanmar,Kyat,MMK,2218.8145,01/08/2022,31/08/2022
Nepal,Rupee,NPR,153.5306,01/08/2022,31/08/2022
New Caledonia,CFP Franc,XPF,140.1769,01/08/2022,31/08/2022
New Zealand,Dollar,NZD,1.9199,01/08/2022,31/08/2022
Nicaragua,Gold Cordoba,NIO,43.0553,01/08/2022,31/08/2022
Niger Republic,CFA Franc,XOF,770.5415,01/08/2022,31/08/2022
Nigeria,Naira,NGN,510.7488,01/08/2022,31/08/2022
Norway,Norwegian Krone,NOK,11.9313,01/08/2022,31/08/2022
Oman,Rial,OMR,0.4619,01/08/2022,31/08/2022
Pakistan,Rupee,PKR,269.9201,01/08/2022,31/08/2022
Panama,Balboa,PAB,1.1996,01/08/2022,31/08/2022
Papua New Guinea,Kina,PGK,4.227,01/08/2022,31/08/2022
Paraguay,Guarani,PYG,8221.6491,01/08/2022,31/08/2022
Peru,New Sol,PEN,4.6562,01/08/2022,31/08/2022
Philippines,Peso,PHP,67.534,01/08/2022,31/08/2022
Poland,Zloty,PLN,5.6008,01/08/2022,31/08/2022
Qatar,Riyal,QAR,4.3688,01/08/2022,31/08/2022
Romania,New Leu,RON,5.7998,01/08/2022,31/08/2022
Russia,Rouble,RUB,66.5803,01/08/2022,31/08/2022
Rwanda,Franc,RWF,1245.8313,01/08/2022,31/08/2022
Saotome & Principe,Dobra,STD,28791.6,01/08/2022,31/08/2022
Saudi Arabia,Riyal,SAR,4.5083,01/08/2022,31/08/2022
Senegal,CFA Franc,XOF,770.5415,01/08/2022,31/08/2022
Serbia,Dinar,RSD,137.9292,01/08/2022,31/08/2022
Seychelles,Rupee,SCR,16.9226,01/08/2022,31/08/2022
Sierra Leone,Leone,SLL,16472.9991,01/08/2022,31/08/2022
Singapore,Dollar,SGD,1.6691,01/08/2022,31/08/2022
Soloman Islands,Dollar,SBD,9.7532,01/08/2022,31/08/2022
Somali Republic,Schilling,SOS,693.2305,01/08/2022,31/08/2022
South Africa,Rand,ZAR,20.5064,01/08/2022,31/08/2022
South Korea,Won,KRW,1575.014,01/08/2022,31/08/2022
Sri Lanka,Rupee,LKR,431.8722,01/08/2022,31/08/2022
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.239,01/08/2022,31/08/2022
St Lucia,E Caribbean Dollar,XCD,3.239,01/08/2022,31/08/2022
St Vincent,E Caribbean Dollar,XCD,3.239,01/08/2022,31/08/2022
Sudan Republic,Pound,SDG,547.6379,01/08/2022,31/08/2022
Surinam,Dollar,SRD,27.193,01/08/2022,31/08/2022
Swaziland,Lilangeni,SZL,20.5064,01/08/2022,31/08/2022
Sweden,Krona,SEK,12.2731,01/08/2022,31/08/2022
Switzerland,Franc,CHF,1.1641,01/08/2022,31/08/2022
Taiwan,Dollar,TWD,35.864,01/08/2022,31/08/2022
Tanzania,Schilling,TZS,2797.5722,01/08/2022,31/08/2022
Thailand,Baht,THB,43.982,01/08/2022,31/08/2022
Togo Republic,CFA Franc,XOF,770.5415,01/08/2022,31/08/2022
Tonga Islands,Pa'anga (AUS),TOP,1.7375,01/08/2022,31/08/2022
Trinidad/Tobago,Dollar,TTD,8.0984,01/08/2022,31/08/2022
Tunisia,Dinar,TND,3.7915,01/08/2022,31/08/2022
Turkey,Turkish  Lira,TRY,21.1018,01/08/2022,31/08/2022
Turkmenistan,New Manat,TMT,4.2108,01/08/2022,31/08/2022
UAE,Dirham,AED,4.4064,01/08/2022,31/08/2022
Uganda,Schilling,UGX,4567.0484,01/08/2022,31/08/2022
Ukraine,Hryvnia,UAH,35.4419,01/08/2022,31/08/2022
Uruguay,Peso,UYU,50.2951,01/08/2022,31/08/2022
USA,Dollar,USD,1.1996,01/08/2022,31/08/2022
Uzbekistan,Sum,UZS,13085.7338,01/08/2022,31/08/2022
Vanuatu,Vatu,VUV,142.8837,01/08/2022,31/08/2022
Venezuela,Bolivar Fuerte,VEF,296750.91,01/08/2022,31/08/2022
Vietnam,Dong,VND,28095.7278,01/08/2022,31/08/2022
Wallis & Futuna Islands,CFP Franc,XPF,140.1769,01/08/2022,31/08/2022
Western Samoa,Tala,WST,3.2502,01/08/2022,31/08/2022
Yemen (Rep of),Rial,YER,299.9832,01/08/2022,31/08/2022
Zambia,Kwacha,ZMW,19.7342,01/08/2022,31/08/2022
Zimbabwe,Dollar,ZWL,434.1515,01/08/2022,31/08/2022
