Country/Territories,Currency,CurrencyCode,Currency units per £1,Start Date,End Date
El Salvador,Colon,SVC,10.5589,01/12/2022,31/12/2022
Equatorial Guinea,CFA Franc,XAF,762.8747,01/12/2022,31/12/2022
Eritrea,Nakfa,ERN,18.0982,01/12/2022,31/12/2022
Ethiopia,Birr,ETB,64.2668,01/12/2022,31/12/2022
Eurozone,Euro,EUR,1.163,01/12/2022,31/12/2022
Fiji Islands,Dollar,FJD,2.72,01/12/2022,31/12/2022
Fr. Polynesia,CFP Franc,XPF,138.7822,01/12/2022,31/12/2022
Gabon,CFA Franc,XAF,762.8747,01/12/2022,31/12/2022
Gambia,Dalasi,GMD,75.4093,01/12/2022,31/12/2022
Georgia,Lari,GEL,3.2884,01/12/2022,31/12/2022
Ghana,Cedi,GHS,17.495,01/12/2022,31/12/2022
Grenada,E Caribbean Dollar,XCD,3.2577,01/12/2022,31/12/2022
Guatemala,Quetzal,GTQ,9.4288,01/12/2022,31/12/2022
Guinea Bissau,CFA Franc,XOF,762.8747,01/12/2022,31/12/2022
Guinea Republic,Franc,GNF,10392.2017,01/12/2022,31/12/2022
Guyana,Dollar,GYD,252.4662,01/12/2022,31/12/2022
Haiti,Gourde,HTG,165.5323,01/12/2022,31/12/2022
Honduras,Lempira,HNL,29.844,01/12/2022,31/12/2022
Hong Kong,Dollar,HKD,9.4339,01/12/2022,31/12/2022
Hungary,Forint,HUF,476.6535,01/12/2022,31/12/2022
Iceland,Krona,ISK,170.6061,01/12/2022,31/12/2022
India,Rupee,INR,98.7621,01/12/2022,31/12/2022
Indonesia,Rupiah,IDR,18926.5612,01/12/2022,31/12/2022
Iraq,Dinar,IQD,1761.2183,01/12/2022,31/12/2022
Israel,Shekel,ILS,4.1311,01/12/2022,31/12/2022
Jamaica,Dollar,JMD,185.7491,01/12/2022,31/12/2022
Japan,Yen,JPY,168.6032,01/12/2022,31/12/2022
Jordan,Dinar,JOD,0.8566,01/12/2022,31/12/2022
Kazakhstan,Tenge,KZT,560.7196,01/12/2022,31/12/2022
Kenya,Schilling,KES,147.561,01/12/2022,31/12/2022
Kuwait,Dinar,KWD,0.3714,01/12/2022,31/12/2022
Kyrgyz Republic,Som,KGS,101.8718,01/12/2022,31/12/2022
Lao People's Dem Rep,Kip,LAK,20873.3956,01/12/2022,31/12/2022
Lebanon,Pound,LBP,1824.5438,01/12/2022,31/12/2022
Lesotho,Loti,LSL,20.5347,01/12/2022,31/12/2022
Liberia,Dollar (US),LRD,1.2065,01/12/2022,31/12/2022
Libya,Dinar,LYD,5.9387,01/12/2022,31/12/2022
Macao,Pataca,MOP,9.717,01/12/2022,31/12/2022
Macedonia,Denar,MKD,71.5846,01/12/2022,31/12/2022
Madagascar,Malagasy Ariary,MGA,5227.1046,01/12/2022,31/12/2022
Malawi,Kwacha,MWK,1238.4082,01/12/2022,31/12/2022
Malaysia,Ringgit,MYR,5.52,01/12/2022,31/12/2022
Maldive Islands,Rufiyaa,MVR,18.5386,01/12/2022,31/12/2022
Mali Republic,CFA Franc,XOF,762.8747,01/12/2022,31/12/2022
Mauritania,Ouguiya,MRU,43.11,01/12/2022,31/12/2022
Mauritius,Rupee,MUR,52.6659,01/12/2022,31/12/2022
Mexico,Mexican Peso,MXN,23.3684,01/12/2022,31/12/2022
Moldova,Leu,MDL,23.2263,01/12/2022,31/12/2022
Mongolia,Tugrik,MNT,4127.0027,01/12/2022,31/12/2022
Montserrat,E Caribbean Dollar,XCD,3.2577,01/12/2022,31/12/2022
Morocco,Dirham,MAD,12.9108,01/12/2022,31/12/2022
Mozambique,Metical,MZN,77.0804,01/12/2022,31/12/2022
Myanmar,Kyat,MMK,2534.1341,01/12/2022,31/12/2022
Nepal,Rupee,NPR,158.0193,01/12/2022,31/12/2022
New Caledonia,CFP Franc,XPF,138.7822,01/12/2022,31/12/2022
New Zealand,Dollar,NZD,1.9353,01/12/2022,31/12/2022
Nicaragua,Gold Cordoba,NIO,43.4599,01/12/2022,31/12/2022
Niger Republic,CFA Franc,XOF,762.8747,01/12/2022,31/12/2022
Nigeria,Naira,NGN,535.1046,01/12/2022,31/12/2022
Norway,Norwegian Krone,NOK,12.0206,01/12/2022,31/12/2022
Oman,Rial,OMR,0.4646,01/12/2022,31/12/2022
Pakistan,Rupee,PKR,270.1162,01/12/2022,31/12/2022
Panama,Balboa,PAB,1.2065,01/12/2022,31/12/2022
Papua New Guinea,Kina,PGK,4.2513,01/12/2022,31/12/2022
Paraguay,Guarani,PYG,8670.8686,01/12/2022,31/12/2022
Peru,New Sol,PEN,4.64,01/12/2022,31/12/2022
Philippines,Peso,PHP,68.719,01/12/2022,31/12/2022
Poland,Zloty,PLN,5.4687,01/12/2022,31/12/2022
Qatar,Riyal,QAR,4.394,01/12/2022,31/12/2022
Romania,New Leu,RON,5.7369,01/12/2022,31/12/2022
Russia,Rouble,RUB,73.147,01/12/2022,31/12/2022
Rwanda,Franc,RWF,1274.116,01/12/2022,31/12/2022
Saotome & Principe,Dobra,STD,28648.6,01/12/2022,31/12/2022
Saudi Arabia,Riyal,SAR,4.5348,01/12/2022,31/12/2022
Senegal,CFA Franc,XOF,762.8747,01/12/2022,31/12/2022
Serbia,Dinar,RSD,136.4245,01/12/2022,31/12/2022
Seychelles,Rupee,SCR,17.307,01/12/2022,31/12/2022
Sierra Leone,Leone,SLL,16750.8677,01/12/2022,31/12/2022
Singapore,Dollar,SGD,1.6629,01/12/2022,31/12/2022
Soloman Islands,Dollar,SBD,9.9304,01/12/2022,31/12/2022
Somali Republic,Schilling,SOS,686.0456,01/12/2022,31/12/2022
South Africa,Rand,ZAR,20.5347,01/12/2022,31/12/2022
South Korea,Won,KRW,1630.9529,01/12/2022,31/12/2022
Sri Lanka,Rupee,LKR,441.9831,01/12/2022,31/12/2022
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.2577,01/12/2022,31/12/2022
St Lucia,E Caribbean Dollar,XCD,3.2577,01/12/2022,31/12/2022
St Vincent,E Caribbean Dollar,XCD,3.2577,01/12/2022,31/12/2022
Sudan Republic,Pound,SDG,685.9232,01/12/2022,31/12/2022
Surinam,Dollar,SRD,37.2673,01/12/2022,31/12/2022
Swaziland,Lilangeni,SZL,20.5347,01/12/2022,31/12/2022
Sweden,Krona,SEK,12.6294,01/12/2022,31/12/2022
Switzerland,Franc,CHF,1.1371,01/12/2022,31/12/2022
Taiwan,Dollar,TWD,37.6425,01/12/2022,31/12/2022
Tanzania,Schilling,TZS,2813.6732,01/12/2022,31/12/2022
Thailand,Baht,THB,43.7465,01/12/2022,31/12/2022
Togo Republic,CFA Franc,XOF,762.8747,01/12/2022,31/12/2022
Tonga Islands,Pa'anga (AUS),TOP,1.7951,01/12/2022,31/12/2022
Trinidad/Tobago,Dollar,TTD,8.1593,01/12/2022,31/12/2022
Tunisia,Dinar,TND,3.9051,01/12/2022,31/12/2022
Turkey,Turkish  Lira,TRY,22.4635,01/12/2022,31/12/2022
Turkmenistan,New Manat,TMT,4.235,01/12/2022,31/12/2022
UAE,Dirham,AED,4.4317,01/12/2022,31/12/2022
Uganda,Schilling,UGX,4510.9031,01/12/2022,31/12/2022
Ukraine,Hryvnia,UAH,44.5597,01/12/2022,31/12/2022
Uruguay,Peso,UYU,47.7492,01/12/2022,31/12/2022
USA,Dollar,USD,1.2065,01/12/2022,31/12/2022
Uzbekistan,Sum,UZS,13540.6314,01/12/2022,31/12/2022
Vanuatu,Vatu,VUV,145.0091,01/12/2022,31/12/2022
Venezuela,Bolivar Fuerte,VEF,300514.88,01/12/2022,31/12/2022
Vietnam,Dong,VND,29981.5913,01/12/2022,31/12/2022
Wallis & Futuna Islands,CFP Franc,XPF,138.7822,01/12/2022,31/12/2022
Western Samoa,Tala,WST,3.3074,01/12/2022,31/12/2022
Yemen (Rep of),Rial,YER,301.7398,01/12/2022,31/12/2022
Zambia,Kwacha,ZMW,20.2338,01/12/2022,31/12/2022
Zimbabwe,Dollar,ZWL,436.6501,01/12/2022,31/12/2022
