Country,Currency,Currency code,Currency units per £1 ,Start date,End date
Trinidad/Tobago,Dollar,TTD,8.9019,01/02/2020,29/02/2020
Tunisia,Dinar,TND,3.7086,01/02/2020,29/02/2020
Turkey,Turkish  Lira,TRY,7.7782,01/02/2020,29/02/2020
Turkmenistan,New Manat,TMT,4.6123,01/02/2020,29/02/2020
UAE,Dirham,AED,4.82,01/02/2020,29/02/2020
Uganda,Schilling,UGX,4829.1,01/02/2020,29/02/2020
Ukraine,Hryvnia,UAH,32.12,01/02/2020,29/02/2020
Uruguay,Peso,UYU,49.07,01/02/2020,29/02/2020
USA,Dollar,USD,1.314,01/02/2020,29/02/2020
Uzbekistan,Sum,UZS,12545.24,01/02/2020,29/02/2020
Vanuatu,Vatu,VUV,153.17,01/02/2020,29/02/2020
Venezuela,Bolivar Fuerte,VEF,326591,01/02/2020,29/02/2020
Vietnam,Dong,VND,30447.05,01/02/2020,29/02/2020
Wallis & Futuna Islands,CFP Franc,XPF,141.58,01/02/2020,29/02/2020
Western Samoa,Tala,WST,3.4662,01/02/2020,29/02/2020
Yemen (Rep of),Rial,YER,328.37,01/02/2020,29/02/2020
Zambia,Kwacha,ZMW,19.15,01/02/2020,29/02/2020
Zimbabwe,Dollar,ZWL,475.55,01/02/2020,29/02/2020
