Country,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Nepal,Rupee,NPR,152.81,01/07/2020,31/07/2020
New Caledonia,CFP Franc,XPF,133.34,01/07/2020,31/07/2020
New Zealand,Dollar,NZD,1.9377,01/07/2020,31/07/2020
Nicaragua,Gold Cordoba,NIO,43.01,01/07/2020,31/07/2020
Niger Republic,CFA Franc,XOF,732.96,01/07/2020,31/07/2020
Nigeria,Naira,NGN,484.98,01/07/2020,31/07/2020
Norway,Norwegian Krone,NOK,11.94,01/07/2020,31/07/2020
Oman,Rial,OMR,0.4828,01/07/2020,31/07/2020
Pakistan,Rupee,PKR,207.47,01/07/2020,31/07/2020
Panama,Balboa,PAB,1.254,01/07/2020,31/07/2020
Papua New Guinea,Kina,PGK,4.342,01/07/2020,31/07/2020
Paraguay,Guarani,PYG,8412.41,01/07/2020,31/07/2020
Peru,New Sol,PEN,4.3758,01/07/2020,31/07/2020
Philippines,Peso,PHP,62.77,01/07/2020,31/07/2020
Poland,Zloty,PLN,4.9815,01/07/2020,31/07/2020
Qatar,Riyal,QAR,4.5658,01/07/2020,31/07/2020
Romania,New Leu,RON,5.4028,01/07/2020,31/07/2020
Russia,Rouble,RUB,87.35,01/07/2020,31/07/2020
Rwanda,Franc,RWF,1182.61,01/07/2020,31/07/2020
Saotome & Principe,Dobra,STD,27587.9,01/07/2020,31/07/2020
Saudi Arabia,Riyal,SAR,4.704,01/07/2020,31/07/2020
Senegal,CFA Franc,XOF,732.96,01/07/2020,31/07/2020
Serbia,Dinar,RSD,131.36,01/07/2020,31/07/2020
Seychelles,Rupee,SCR,22.38,01/07/2020,31/07/2020
Sierra Leone,Leone,SLL,12351.88,01/07/2020,31/07/2020
Singapore,Dollar,SGD,1.747,01/07/2020,31/07/2020
Soloman Islands,Dollar,SBD,10.45,01/07/2020,31/07/2020
Somali Republic,Schilling,SOS,729.82,01/07/2020,31/07/2020
South Africa,Rand,ZAR,21.54,01/07/2020,31/07/2020
South Korea,Won,KRW,1522.28,01/07/2020,31/07/2020
Sri Lanka,Rupee,LKR,233.93,01/07/2020,31/07/2020
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.3858,01/07/2020,31/07/2020
St Lucia,E Caribbean Dollar,XCD,3.3858,01/07/2020,31/07/2020
St Vincent,E Caribbean Dollar,XCD,3.3858,01/07/2020,31/07/2020
Sudan Republic,Pound,SDG,69.37,01/07/2020,31/07/2020
Surinam,Dollar,SRD,9.3523,01/07/2020,31/07/2020
Swaziland,Lilangeni,SZL,21.54,01/07/2020,31/07/2020
Sweden,Krona,SEK,11.72,01/07/2020,31/07/2020
Switzerland,Franc,CHF,1.1944,01/07/2020,31/07/2020
Taiwan,Dollar,TWD,37.12,01/07/2020,31/07/2020
Tanzania,Schilling,TZS,2901.74,01/07/2020,31/07/2020
Thailand,Baht,THB,39.16,01/07/2020,31/07/2020
Togo Republic,CFA Franc,XOF,732.96,01/07/2020,31/07/2020
Tonga Islands,Pa'anga (AUS),TOP,1.8136,01/07/2020,31/07/2020
Trinidad/Tobago,Dollar,TTD,8.4474,01/07/2020,31/07/2020
Tunisia,Dinar,TND,3.5745,01/07/2020,31/07/2020
Turkey,Turkish  Lira,TRY,8.5993,01/07/2020,31/07/2020
Turkmenistan,New Manat,TMT,4.389,01/07/2020,31/07/2020
UAE,Dirham,AED,4.6061,01/07/2020,31/07/2020
Uganda,Schilling,UGX,4671.14,01/07/2020,31/07/2020
Ukraine,Hryvnia,UAH,33.6,01/07/2020,31/07/2020
Uruguay,Peso,UYU,53.35,01/07/2020,31/07/2020
USA,Dollar,USD,1.254,01/07/2020,31/07/2020
Uzbekistan,Sum,UZS,12730.46,01/07/2020,31/07/2020
Vanuatu,Vatu,VUV,145.98,01/07/2020,31/07/2020
Venezuela,Bolivar Fuerte,VEF,309158,01/07/2020,31/07/2020
Vietnam,Dong,VND,29089.63,01/07/2020,31/07/2020
Wallis & Futuna Islands,CFP Franc,XPF,133.34,01/07/2020,31/07/2020
Western Samoa,Tala,WST,3.3502,01/07/2020,31/07/2020
Yemen (Rep of),Rial,YER,313.93,01/07/2020,31/07/2020
Zambia,Kwacha,ZMW,22.91,01/07/2020,31/07/2020
Zimbabwe,Dollar,ZWL,453.82,01/07/2020,31/07/2020
