Country,Unit of Currency,Sterling value of Currency Unit �,Currency Units per �1,Sterling value of Currency Unit �,Currency Units per �1
Taiwan,Dollar ,0.0265,37.768333,,
Tanzania,Schilling,0.0003,2953.545000,,
Thailand,Baht ,0.0250,39.922500,,
Togo Republic,CFA Franc ,0.0014,740.530833,,
Tonga Islands,Pa'anga (AUS) ,0.5339,1.873142,,
Trinidad/Tobago,Dollar ,0.1160,8.620492,,
Tunisia,Dinar ,0.2778,3.599142,,
Turkey,Turkish  Lira ,0.1141,8.765433,,
Turkmenistan,New Manat ,0.2234,4.476125,,
UAE,Dirham ,0.2133,4.689050,,
Uganda,Schilling ,0.0002,4744.462500,,
Ukraine,Hryvnia ,0.0294,34.065000,,
Uruguay,Peso ,0.0188,53.310000,,
USA,Dollar ,0.7832,1.276733,,
Uzbekistan,Sum ,0.0001,12779.250833,,
Vanuatu,Vatu ,0.0067,149.078333,,
Venezuela,Bolivar Fuerte ,0.0000,312878.370833,,
Vietnam,Dong ,0.0000,29649.391667,,
Wallis & Futuna Islands,CFP Franc ,0.0074,134.714167,,
Western Samoa,Tala ,0.2943,3.397967,,
Yemen (Rep of),Rial ,0.0031,319.280833,,
Zambia,Kwacha ,0.0440,22.721667,,
Zimbabwe,Dollar ,0.0022,462.043333,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
