Country,Unit of Currency,Sterling value of Currency Unit �,Currency Units per �1,Sterling value of Currency Unit �,Currency Units per �1
Dominican Republic,Peso ,0.0145,68.807925,,
Dubai,Dirham ,0.2180,4.587583,,
Ecuador,Dollar ,0.8003,1.249458,,
Egypt,Pound ,0.0433,23.079258,,
El Salvador,Colon ,0.0915,10.928442,,
Equatorial Guinea,CFA Franc ,0.0013,772.533083,,
Eritrea,Nakfa ,0.0534,18.734733,,
Ethiopia,Birr ,0.0155,64.426317,,
Eurozone,Euro ,0.8489,1.177958,,
Fiji Islands,Dollar ,0.3666,2.727417,,
Fr. Polynesia,CFP Franc,0.0071,140.539225,,
Gabon,CFA Franc ,0.0013,772.533083,,
Gambia,Dalasi ,0.0145,68.751142,,
Georgia,Lari ,0.2719,3.677642,,
Ghana,Cedi ,0.0929,10.768683,,
Grenada,E Caribbean Dollar ,0.2965,3.372242,,
Guatemala,Quetzal ,0.1035,9.658108,,
Guinea Bissau,CFA Franc,0.0013,772.533083,,
Guinea Republic,Franc ,0.0001,11062.409800,,
Guyana,Dollar ,0.0038,261.310525,,
Haiti,Gourde ,0.0072,139.630000,,
Honduras,Lempira ,0.0326,30.702658,,
Hong Kong,Dollar ,0.1022,9.783883,,
Hungary,Forint ,0.0022,455.204617,,
Iceland,Krona ,0.0060,166.914933,,
India,Rupee ,0.0103,97.560208,,
Indonesia,Rupiah ,0.0001,18416.008242,,
Iraq,Dinar ,0.0005,1823.344258,,
Israel,Shekel ,0.2417,4.137783,,
Jamaica,Dollar ,0.0052,191.686408,,
Japan,Yen ,0.0062,162.148108,,
Jordan,Dinar ,1.1288,0.885917,,
Kazakhstan,Tenge ,0.0017,571.997592,,
Kenya,Schilling ,0.0068,146.142083,,
Kuwait,Dinar ,2.6168,0.382142,,
Kyrgyz Republic,Som ,0.0096,104.682758,,
Lao People's Dem Rep,Kip ,0.0001,17129.935425,,
Lebanon,Pound ,0.0005,1889.545975,,
Lesotho,Loti ,0.0494,20.249583,,
Liberia,Dollar (US) ,0.8003,1.249458,,
Libya,Dinar ,0.1678,5.960717,,
Macao,Pataca ,0.0993,10.073417,,
Macedonia,Denar ,0.0138,72.511692,,
Madagascar,Malagasy Ariary,0.0002,5100.389675,,
Malawi,Kwacha ,0.0009,1143.846642,,
Malaysia,Ringgit ,0.1827,5.474008,,
Maldive Islands,Rufiyaa ,0.0519,19.265767,,
Mali Republic,CFA Franc,0.0013,772.533083,,
Mauritania,Ouguiya ,0.0224,44.626108,,
Mauritius,Rupee ,0.0182,54.860475,,
Mexico,Mexican Peso ,0.0397,25.216475,,
Moldova,Leu ,0.0427,23.428475,,
Mongolia,Tugrik ,0.0003,3866.233808,,
Montserrat,E Caribbean Dollar ,0.2965,3.372242,,
Morocco,Dirham ,0.0799,12.516267,,
Mozambique, Metical ,0.0126,79.501925,,
Myanmar,Kyat ,0.0004,2376.123875,,
Nepal,Rupee ,0.0064,156.039000,,
New Caledonia,CFP Franc ,0.0071,140.539225,,
New Zealand,Dollar ,0.5126,1.950917,,
Nicaragua,Gold Cordoba ,0.0224,44.677892,,
Niger Republic,CFA Franc ,0.0013,772.533083,,
Nigeria,Naira ,0.0019,528.036800,,
Norway,Norwegian Krone ,0.0843,11.857917,,
Oman,Rial ,2.0777,0.481300,,
Pakistan,Rupee ,0.0040,251.475625,,
Panama,Balboa ,0.8007,1.248967,,
Papua New Guinea,Kina ,0.2276,4.394100,,
Paraguay,Guarani ,0.0001,8667.174108,,
Peru,New Sol ,0.2079,4.808908,,
Philippines,Peso ,0.0148,67.568508,,
Poland,Zloty ,0.1816,5.506658,,
Qatar,Riyal ,0.2199,4.548225,,
Romania,New Leu ,0.1720,5.813208,,
Russia,Rouble ,0.0108,92.189042,,
Rwanda,Franc ,0.0008,1287.687250,,
Saotome & Principe,Dobra ,0.0000,28910.383333,,
Saudi Arabia,Riyal ,0.2132,4.691083,,
Senegal,CFA Franc ,0.0013,772.533083,,
Serbia,Dinar ,0.0072,138.351933,,
Seychelles,Rupee ,0.0556,17.970425,,
Sierra Leone,Leone ,0.0001,15889.594467,,
Singapore,Dollar ,0.5807,1.722058,,
Soloman Islands,Dollar ,0.0984,10.160000,,
Somali Republic,Schilling ,0.0014,723.207908,,
South Africa,Rand ,0.0494,20.254450,,
South Korea,Won ,0.0006,1599.895175,,
Sri Lanka,Rupee ,0.0026,386.788617,,
St Christopher & Anguilla,E Caribbean Dollar ,0.2965,3.372242,,
St Lucia,E Caribbean Dollar ,0.2965,3.372242,,
St Vincent,E Caribbean Dollar ,0.2965,3.372242,,
Sudan Republic,Pound ,0.0016,606.466408,,
Surinam,Dollar ,0.0343,29.162683,,
Swaziland,Lilangeni ,0.0494,20.249583,,
Sweden,Krona ,0.0804,12.430433,,
Switzerland,Franc ,0.8405,1.189767,,
Taiwan,Dollar ,0.0271,36.907833,,
Tanzania,Schilling,0.0003,2901.870233,,
Thailand,Baht ,0.0229,43.640367,,
Togo Republic,CFA Franc ,0.0013,772.533083,,
Tonga Islands,Pa'anga (AUS) ,0.5598,1.786317,,
Trinidad/Tobago,Dollar ,0.1185,8.435533,,
Tunisia,Dinar ,0.2606,3.837967,,
Turkey,Turkish  Lira ,0.0494,20.249233,,
Turkmenistan,New Manat ,0.2285,4.376475,,
UAE,Dirham ,0.2180,4.587583,,
Uganda,Schilling ,0.0002,4585.370842,,
Ukraine,Hryvnia ,0.0255,39.140292,,
Uruguay,Peso ,0.0192,52.078017,,
USA,Dollar ,0.8003,1.249458,,
Uzbekistan,Sum ,0.0001,13782.084425,,
Vanuatu,Vatu ,0.0069,145.966742,,
Venezuela,Bolivar Fuerte ,0.0000,310194.693333,,
Vietnam,Dong ,0.0000,29168.755583,,
Wallis & Futuna Islands,CFP Franc ,0.0071,140.539225,,
Western Samoa,Tala ,0.2989,3.345750,,
Yemen (Rep of),Rial ,0.0032,312.466317,,
Zambia,Kwacha ,0.0476,21.029708,,
Zimbabwe,Dollar ,0.0022,452.006683,,
,,,,,
